BranchCode,Branch
"DISABLE","-- Trending Branches --------------------"
"AD","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE"
"AL","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING"
"AM","COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING)"
"CF","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)"
"CS","COMPUTER SCIENCE AND ENGINEERING"
"TS","COMPUTER SCIENCE AND TECHNOLOGY"
"IT","INFORMATION TECHNOLOGY"
"AE","AERONAUTICAL ENGINEERING"
"EC","ELECTRONICS AND COMMUNICATION ENGINEERING"
"EE","ELECTRICAL AND ELECTRONICS ENGINEERING"
"EI","ELECTRONICS AND INSTRUMENTATION ENGINEERING"
"CE","CIVIL  ENGINEERING"
"AU","AUTOMOBILE ENGINEERING"
"ME","MECHANICAL ENGINEERING"
"MR","MARINE ENGINEERING"
"BT","BIO TECHNOLOGY"
"CH","CHEMICAL  ENGINEERING"
"MZ","MECHATRONICS ENGINEERING"
"DISABLE","-- Other Branches --------------------"
"AO","AEROSPACE ENGINEERING"
"AG","AGRICULTURAL ENGINEERING"
"AP","APPAREL TECHNOLOGY (SS)"
"AT","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS)"
"AS","AUTOMOBILE ENGINEERING (SS)"
"BP","B.PLAN"
"DA","BACHELOR OF DESIGN"
"BM","BIO MEDICAL ENGINEERING"
"BY","BIO MEDICAL ENGINEERING  (SS)"
"BS","BIO TECHNOLOGY (SS)"
"BC","BIO TECHNOLOGY AND BIO CHEMICAL ENGINEERING"
"CR","CERAMIC TECHNOLOGY (SS)"
"CL","CHEMICAL  ENGINEERING (SS)"
"CC","CHEMICAL AND ELECTRO CHEMICAL  ENGINEERING (SS)"
"CN","CIVIL  ENGINEERING (SS)"
"CZ","CIVIL AND STRUCTUTURAL ENGINEERING"
"CK","CIVIL ENGINEERING (ENVIRONMENTAL ENGINEERING)"
"XC","CIVIL ENGINEERING (TAMIL MEDIUM)"
"CO","COMPUTER AND  COMMUNICATION ENGINEERING"
"CW","COMPUTER SCIENCE AND BUSINESS SYSTEM (SS)"
"CB","COMPUTER SCIENCE AND BUSSINESS SYSTEM"
"CD","COMPUTER SCIENCE AND DESIGN"
"CG","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING) (SS)"
"SC","COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY)"
"SB","COMPUTER SCIENCE AND ENGINEERING (INTERNET OF THINGS AND CYBER SECURITY INCLUDING BLOCK CHAIN TECHNOLOGY)"
"CI","COMPUTER SCIENCE AND ENGINEERING (INTERNET OF THINGS)"
"CM","COMPUTER SCIENCE AND ENGINEERING (SS)"
"XS","COMPUTER SCIENCE AND ENGINEERING (TAMIL)"
"CY","CYBER SECURITY"
"EF","ELECTRICAL AND COMPUTER ENGINEERING"
"ES","ELECTRICAL AND ELECTRONICS (SANDWICH) (SS)"
"EY","ELECTRICAL AND ELECTRONICS ENGINEERING (SS)"
"IX","ELECTRONIC INSTRUMENTATION AND CONTROL ENGINEERING"
"EM","ELECTRONICS AND COMMUNICATION ENGINEERING (SS)"
"EA","ELECTRONICS AND COMMUNICATION (ADVANCED COMMUNICATION TECHNOLOGY)"
"EX","ELECTRONICS AND COMPUTER ENGINEERING"
"EV","ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY)"
"EL","ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY) (SS)"
"EN","ENVIRONMENTAL ENGINEERING"
"FT","FASHION TECHNOLOGY"
"FY","FASHION TECHNOLOGY (SS)"
"FD","FOOD TECHNOLOGY"
"FS","FOOD TECHNOLOGY (SS)"
"GI","GEO INFORMATICS"
"HT","HANDLOOM AND TEXTILE TECHNOLOGY"
