CollegeCode,College,BranchCode,Branch,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",BY,BIO MEDICAL ENGINEERING  (SS),196.0,193.0,194.5,192.0,0.0,0.0,186.185,178.405,193.725
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CE,CIVIL  ENGINEERING,193.5,191.5,186.755,189.0,0.0,0.0,183.5,174.0,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CM,COMPUTER SCIENCE AND ENGINEERING (SS),199.5,199.5,198.0,198.5,0.0,0.0,194.5,189.5,189.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CS,COMPUTER SCIENCE AND ENGINEERING,200.0,200.0,199.0,199.3333333,0.0,0.0,197.5,197.5,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,199.5,199.0,198.0,198.0,0.0,0.0,194.0,185.0,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,197.5,197.0,194.5,195.5,0.0,0.0,189.5,181.855,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),198.5,198.5,196.0,196.5,0.0,0.0,191.0,0.0,187.5
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",GI,GEO INFORMATICS,193.0,190.0,188.5,189.5,0.0,0.0,177.5,180.715,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IE,INDUSTRIAL ENGINEERING,191.5,188.0,182.5,185.0,0.0,0.0,175.0,184.5,161.5
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IM,INFORMATION TECHNOLOGY (SS),199.0,198.5,197.5,196.5,0.0,0.0,192.0,187.5,185.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MA,MATERIAL SCIENCE AND ENGINEERING (SS),191.5,188.0,185.0,187.5,0.0,0.0,173.5,171.0,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ME,MECHANICAL ENGINEERING,195.5,193.0,191.5,190.0,0.0,0.0,185.0,184.5,160.37
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MI,MINING ENGINEERING,189.615,182.67,182.41,179.66,0.0,0.0,174.5,159.5,130.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MN,MANUFACTURING ENGINEERING,189.5,185.95,186.5,182.5,0.0,0.0,177.0,155.5,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",PT,PRINTING AND PACKING TECHNOLOGY,186.5,178.505,186.5,178.0,0.0,0.0,171.515,139.0,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",XC,CIVIL ENGINEERING (TAMIL MEDIUM),181.0,173.0,137.0,167.0,0.0,0.0,171.0,103.0,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),185.5,175.5,181.5,171.0,0.0,0.0,170.0,138.0,0.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",AP,APPAREL TECHNOLOGY (SS),169.5,164.5,150.0,157.5,0.0,0.0,156.5,164.0,0.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CH,CHEMICAL  ENGINEERING,194.0,191.0,179.395,186.5,0.0,0.0,180.5,180.0,160.78
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CL,CHEMICAL  ENGINEERING (SS),190.0,189.0,179.0,185.0,0.0,0.0,171.5,151.0,0.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CR,CERAMIC TECHNOLOGY (SS),173.0,162.0,164.0,157.0,0.0,0.0,153.0,91.0,0.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",FS,FOOD TECHNOLOGY (SS),190.505,187.0,189.5,185.5,0.0,0.0,170.295,168.5,165.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",IB,INDUSTRIAL BIO TECHNOLOGY,194.0,191.5,186.5,186.405,0.0,0.0,175.0,167.0,0.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",IS,INDUSTRIAL BIO TECHNOLOGY (SS),192.5,190.0,0.0,184.0,0.0,0.0,173.0,0.0,0.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",LE,LEATHER TECHNOLOGY,170.0,161.5,167.5,160.5,0.0,0.0,152.5,142.5,0.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",PM,PHARMACEUTICAL TECHNOLOGY (SS),185.0,177.5,176.0,179.22,0.0,0.0,163.0,171.525,153.5
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",PP,PETROLEUM ENGINEERING AND TECHNOLOGY (SS),182.0,172.5,177.5,171.5,0.0,0.0,162.0,141.5,0.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",TX,TEXTILE TECHNOLOGY,176.5,166.0,174.0,159.5,0.0,0.0,156.0,124.5,131.5
3,"School of Architecture and Planning, Anna University,Chennai 600025",BP,B.Plan,191.465,186.095,183.5,180.0,0.0,0.0,169.55,142.5,181.0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AE,AERONAUTICAL ENGINEERING,194.5,193.0,192.0,190.0,0.0,0.0,187.5,172.975,0.0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),197.5,197.0,196.0,196.0,0.0,0.0,189.0,176.0,0.0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AU,AUTOMOBILE ENGINEERING,191.5,187.0,180.0,185.5,0.0,0.0,172.5,165.0,0.0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CM,COMPUTER SCIENCE AND ENGINEERING (SS),198.5,198.0,197.0,197.0,0.0,0.0,191.0,182.295,0.0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CS,COMPUTER SCIENCE AND ENGINEERING,199.0,198.5,197.5,197.5,0.0,0.0,193.0,184.5,0.0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,198.0,197.5,195.0,196.5,0.0,0.0,190.5,178.0,177.57
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,196.5,195.5,191.5,192.5,0.0,0.0,183.5,0.0,172.295
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),197.5,197.0,196.0,195.5,0.0,0.0,189.0,180.0,186.5
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",IM,INFORMATION TECHNOLOGY (SS),198.0,197.5,196.0,195.5,0.0,0.0,187.5,181.0,183.5
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",PR,PRODUCTION ENGINEERING,189.0,184.55,184.0,181.5,0.0,0.0,172.0,164.0,168.0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",RA,ROBOTICS AND AUTOMATION (SS),196.0,195.0,193.0,193.0,0.0,0.0,185.0,185.0,0.0
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",RP,RUBBER AND PLASTIC TECHNOLOGY,181.615,171.0,179.0,169.5,0.0,0.0,157.0,156.845,150.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",AM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),160.5,123.0,129.5,144.5,0.0,0.0,129.5,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",CE,CIVIL  ENGINEERING,125.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",CF,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),163.0,120.0,126.5,142.0,0.0,0.0,126.0,108.5,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",CH,CHEMICAL  ENGINEERING,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",CS,COMPUTER SCIENCE AND ENGINEERING,171.0,137.5,140.0,146.0,0.0,0.0,136.5,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",CZ,CIVIL AND STRUCTUTURAL ENGINEERING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,151.0,123.5,115.5,138.0,0.0,0.0,100.5,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,121.5,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",IT,INFORMATION TECHNOLOGY,159.5,133.0,130.0,141.5,0.0,0.0,128.0,81.0,116.5
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",ME,MECHANICAL ENGINEERING,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",MM,MECHANICAL ENGINEERING (MANUFACTURING),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103",CS,COMPUTER SCIENCE AND ENGINEERING,177.0,160.0,167.5,170.0,0.0,0.0,140.5,148.5,0.0
1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,166.0,144.5,154.0,143.5,0.0,0.0,112.0,0.0,0.0
