collegeCode,collegeName,districtName
1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,Chennai
2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,Chennai
3,School of Architecture and Planning  Anna University Chennai 600025,Chennai
4,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,Chengalpattu
5,Annamalai University Faculty of Engineering and Technology Annamalai nagar Cuddalore,Cuddalore
1013,University College of Engineering  Villupuram  Kakuppam  Villupuram District 605103,Villupuram
1014,University College of Engineering  Tindivanam  Melpakkam  Tindivanam  Villupuram District 604001,Villupuram
1015,University College of Engineering  Arni  Arni to Devikapuram Road  Thatchur  Arni  Thiruvannamalai District 632326,Thiruvannamalai
1026,University College of Engineering  Kancheepuram  Ponnerikarai Campus  NH4  Chennai-Bangalore Highway  Karaipettai Village & Post  Kancheepuram District 631552,Kancheepuram
1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",Chennai
1102,"Bhajarang Engineering College, Ayathur Village, Veppampattu (R.S), Thiruvallur dist-602024.",Tiruvallur
1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",Chennai
1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",Tiruvallur
1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",Tiruvallur
1112,"R.M.D. Engineering College (Autonomous), R.S.M. Nagar, Gummidipoondi Taluk, Kavaraipettai,  Thiruvallur-601206.",Tiruvallur
1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",Tiruvallur
1114,"S.A. Engineering College (Autonomous), Poonamallee- Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",Chennai
1115,"SriRam Engineering College, Perumalpattu, Veppampattu R.S., Tiruvallur District, Chennai-602024.",Tiruvallur
1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur Taluk & District-631203.",Tiruvallur
1118,"Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College (Autonomous), 42, Veltech Road, Avadi, Morai, Thiruvallur-600062.",Tiruvallur
1120,"Velammal Engineering College (Autonomous), Velammal Nagar, Ambattur-Redhills Road, Surapet, Thiruvallur, Chennai-600066.",Chennai
1121,"Sri Venkateswara Institute of Science and Technology, Kolundhalur, Thiruvallur Taluk & District-631203.",Tiruvallur
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062.",Tiruvallur
1123,"Gojan School of Business and Technology, 80-Feet Road, Edapalayam, Red Hills, Thiruvallur, Chennai-600052.",Chennai
1124,"SAMS College of Engineering and Technology, 82,Panapakkam, Tirupathi Road, Uthukottai Taluk, Thiruvallur District-601102.",Tiruvallur
1125,"PMR Engineering College, Adayalampattu, Tiruvallur, Chennai-600095.",Chennai
1126,"JNN Institute of Engineering (Autonomous), Ushaa Garden, 90, Kannigaipair Village, Uthukottai Taluk, Thiruvallur-601102.",Tiruvallur
1127,"St. Peter's College of Engineering and Technology, College Road, Avadi Taluk, Thiruvallur District, Chennai-600054.",Chennai
1128,"R.M.K. College of Engineering and Technology (Autonomous), R.S.M. Nagar, Puduvoyal, Gummidipoondi Taluk, Thiruvallur District-601206.",Tiruvallur
1133,"Annai Veilankannis College of Engineering, 33 Gandhi Road, Nedungundram, Chennai-600048.",Chennai
1137,"Annai Mira College of Engineering and Technology, Arappakkam Village, Arcot Road, Walaja Taluk, Vellore District-632517.",Vellore
1140,"Jeppiaar Institute of Technology (Autonomous), Jeppiaar Nagar, Kunnam Village,Sriperumbudur Taluk, Kanchipuram-631604.",Kancheepuram
1149,"St. Joseph's Institute of Technology (Autonomous), Jeppiaar Nagar, Old Mamallapuram Road, Kanchipuram, Chennai-600119.",Chennai
1150,"Sri Jayaram Institute of Engineering and Technology, 51 N,Elavur, 58 N Natham Village,Gumudipoondi Taluk, Thiruvallur District-601201.",Tiruvallur
1202,"DMI College of Engineering (Autonomous), St.Joseph's Town,Mevalurkuppam B Village, Nazarethpet Post, Palanchur, Kanchipuram, Chennai-600123.",Chennai
1207,"Kings Engineering College, Irungattukottai, Opp. Hyundai Car Company, Sriperumbudur, Kanchipuram-602117.",Kancheepuram
1209,"Pallavan College of Engineering, Thimmasamudram, Kanchipuram -631502.",Kancheepuram
1210,"Panimalar Engineering College (Autonomous), Bangalore Trunk Road, NazarathPet, Varadharajapuram, Poonamallee, Thiruvallur (DT), Chennai-600123.",Chennai
1211,"Rajalakshmi Engineering College  (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105.",Chennai
1212,"Rajiv Gandhi College of Engineering, Nemili Village, Sriperumbudur, Kanchipuram-602105.",Kancheepuram
1213,"S K R Engineering College, Agarmel, Poonamallaee, Thiruvallur, Chennai-600123.",Chennai
1216,"Saveetha Engineering College (Autonomous), Saveetha Nagar, Thandalam Post, Sriperumbudur Taluk, Kancheepuram District-602105.",Kancheepuram
1217,"Sree Sastha Institute of Engineering and Technology, Chennai-Bangalore Highway, Chembarambakkam, Thiruvallur District, Chennai-600123.",Chennai
1218,"Sri Muthukumaran Institute of Technology, Chikkarayapuram Near Mangadu, Kanchipuram, Chennai-600069.",Chennai
1219,"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.3, Pennalur, Sriperumbudur, Kanchipuram-602105.",Kancheepuram
1221,"Jaya College of Engineering and Technology, Poonamallee By Pass Road, Parivakkam, Chennai, Thiruvallur-600056.",Chennai
1222,"P.B. College of Engineering, Chennai-Bangalore High Way, Irungkattukottai, Sriperumbudur Taluk, Kancheepuram District, Chennai -602117.",Chennai
1225,"Loyola Institute of Technology, Palanchur, Mevalurkuppam, B village, Nazarathpet Post, Sriperumpudur Taluk, Kanchipuram District, Chennai-600123.",Chennai
1226,"P.T.Lee Chengalvaraya Naicker College of Engineering and Technology, Oovery, Veliyur Post, Kanchipuram District-631502.",Kancheepuram
1228,"Alpha College of Engineering, No.34, Udayavar Kovil Street, Thirumazhisai, Chennai-600124.",Chennai
1229,"Indira Institute of Engineering and Technology, No.1, V.G.R Nagar, V.G.R Gardens, Pandur, Thiruvallur -631203.",Tiruvallur
1230,"Apollo Engineering College, Mevaloorkuppam Valarpuram Post, Sriperumbudur Taluk, Kanchipuram District-602105.",Kancheepuram
1232,"ARM College of Engineering and Technology, Sattamangalam,Maraimalainagar Post, Chengalpattu Taluk, Kanchipuram Dist-603209.",Kancheepuram
1233,"Adhi College of Engineering and Technology, No. 6, Munu  Adhi Nagar, Sankarapuram, Puliambakkam Post, Near Wallajabad Kancheepuram-631605.",Kancheepuram
1235,"Jei Mathaajee College of Engineering, No.124, Vishakandikuppam Village, Siruvakkam Post, Kanchipuram-631552.",Kancheepuram
1237,"Velammal Institute of Technology, Chennai - Kolkatta Highway, Pancheeti Village, Ponneri Taluk, Thiruvallur District-601204.",Tiruvallur
1238,"GRT Institute of Engineering and Technology, GRT Mahalakshmi Nagar, Chennai-Tirupathi Highway, Tiruttani, Thiruvallur-631209.",Tiruvallur
1241,"T.J.S. Engineering College, Peruvoyal, Near Kavaraipettai,Gummidipoondi Taluk,Thiruvallur District-601206.",Tiruvallur
1243,"Madha Institute of Engineering and Technology, Irandaam Kattalai, Sadhananthapuram, Thandalam post, Chennai-600122.",Chennai
1505,"C.Abdul Hakeem College of Engineering and Technology, Hakeem Nagar, Melvisharam, Vellore -632509.",Vellore
1507,"Ganadipathy Tulsi's Jain Engineering College, Chittoor-Cuddalore Road, Kaniyambadi, Vellore-632102.",Vellore
1509,"Meenakshi College of Engineering, 12,Vembuli Amman Koil Street, West K K Nagar, Chennai-600078.",Chennai
1510,"Priyadarshini Engineering College, Chettiyappanur Village & Post, Vaniyambadi, Vellore-635751.",Vellore
1210,"Panimalar Engineering College (Autonomous), Bangalore Trunk Road, NazarathPet, Varadharajapuram, Poonamallee, Thiruvallur (DT), Chennai-600123.",Chennai
1211,"Rajalakshmi Engineering College  (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105.",Chennai
1212,"Rajiv Gandhi College of Engineering, Nemili Village, Sriperumbudur, Kanchipuram-602105.",Kancheepuram
1213,"S K R Engineering College, Agarmel, Poonamallaee, Thiruvallur, Chennai-600123.",Chennai
1216,"Saveetha Engineering College (Autonomous), Saveetha Nagar, Thandalam Post, Sriperumbudur Taluk, Kancheepuram District-602105.",Kancheepuram
1217,"Sree Sastha Institute of Engineering and Technology, Chennai-Bangalore Highway, Chembarambakkam, Thiruvallur District, Chennai-600123.",Chennai
1218,"Sri Muthukumaran Institute of Technology, Chikkarayapuram Near Mangadu, Kanchipuram, Chennai-600069.",Chennai
1219,"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.3, Pennalur, Sriperumbudur, Kanchipuram-602105.",Kancheepuram
1221,"Jaya College of Engineering and Technology, Poonamallee By Pass Road, Parivakkam, Chennai, Thiruvallur-600056.",Chennai
1222,"P.B. College of Engineering, Chennai-Bangalore High Way, Irungkattukottai, Sriperumbudur Taluk, Kancheepuram District, Chennai -602117.",Chennai
1225,"Loyola Institute of Technology, Palanchur, Mevalurkuppam, B village, Nazarathpet Post, Sriperumpudur Taluk, Kanchipuram District, Chennai-600123.",Chennai
1226,"P.T.Lee Chengalvaraya Naicker College of Engineering and Technology, Oovery, Veliyur Post, Kanchipuram District-631502.",Kancheepuram
1228,"Alpha College of Engineering, No.34, Udayavar Kovil Street, Thirumazhisai, Chennai-600124.",Chennai
1229,"Indira Institute of Engineering and Technology, No.1, V.G.R Nagar, V.G.R Gardens, Pandur, Thiruvallur -631203.",Tiruvallur
1230,"Apollo Engineering College, Mevaloorkuppam Valarpuram Post, Sriperumbudur Taluk, Kanchipuram District-602105.",Kancheepuram
1232,"ARM College of Engineering and Technology, Sattamangalam,Maraimalainagar Post, Chengalpattu Taluk, Kanchipuram Dist-603209.",Chengalpattu
1233,"Adhi College of Engineering and Technology, No. 6, Munu  Adhi Nagar, Sankarapuram, Puliambakkam Post, Near Wallajabad Kancheepuram-631605.",Kancheepuram
1235,"Jei Mathaajee College of Engineering, No.124, Vishakandikuppam Village, Siruvakkam Post, Kanchipuram-631552.",kancheepuram
1237,"Velammal Institute of Technology, Chennai - Kolkatta Highway, Pancheeti Village, Ponneri Taluk, Thiruvallur District-601204.",Chennai
1238,"GRT Institute of Engineering and Technology, GRT Mahalakshmi Nagar, Chennai-Tirupathi Highway, Tiruttani, Thiruvallur-631209.",Chennai
1241,"T.J.S. Engineering College, Peruvoyal, Near Kavaraipettai,Gummidipoondi Taluk,Thiruvallur District-601206.",Tiruvallur
1243,"Madha Institute of Engineering and Technology, Irandaam Kattalai, Sadhananthapuram, Thandalam post, Chennai-600122.",Chennai
1301,"Mohamed Sathak A J College of Engineering (Autonomous), #34, Rajiv Gandhi Road(OMR), IT Highway, Siruseri, Egattur, Chennai-603103.",Chennai
1303,"Anand Institute of Higher Technology, Kalasalingam Nagar, Old Mahabalipuram Road, Kazhipattur Village, Chengalpattu Taluk, Kancheepuram District-603103.",Kancheepuram
1304,"Easwari Engineering College (Autonomous), Bharathi Salai, Ramapuram, Chennai-600089.",Chennai
1306,"Jeppiaar Engineering College, Jeppiaar Nagar, Old Mammallapuram Road, Kanchipuram, Chennai-600119.",Chennai
1307,"Jerusalem College of Engineering (Autonomous), Velachery-Tambaram Main Road,Narayanapuram, Pallikkaranai,Chennai-600100.",Chennai
1309,"Meenakshi Sundararajan Engineering College (Autonomous), C/O I.I.E.T Society No.363, Arcot Road, Kodambakkam, Chennai-600024.",Chennai
1310,"Misrimal Navajee Munoth Jain Engineering College, Guru Marudhar Kesari Building, Jyothi Nagar, Thorapakkam, Chennai-600097.",Chennai
1311,"KCG college of Technology (Autonomous), Rajiv Gandhi Salai, Karapakkam, Chennai-600097.",Chennai
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam,Kanchipuram District-603110.",Kancheepuram
1316,"Agni College of Technology (Autonomous), Thalambur Off.Rajiv Gandhi Salai, Chengalpattu Taluk, Kancheepuram District-603103.",Kancheepuram
1317,"St. Joseph's College of Engineering (Autonomous), Jeppiaar Nagar, Old Mamallapuram Road, Kanchipuram, Chennai-600119.",Chennai
1318,"T.J. Institute of Technology, Rajiv Gandhi Salai, Karapakkam, Chennai-600097.",Chennai
1319,"Thangavelu Engineering College, Rajiv Gandhi Salai, Karapakkam, Chennai-600097.",Chennai
1321,Central Institute of Petrochemicals Engineering and Technology (Formerly Central Institute of Plastics Engineering and Technology) (CIPET)  Guindy  Chennai 600032,Chennai
1322,"Dhanalakshmi Srinivasan College of Engineering and Technology, ECR, Poonjeri, Mamallapuram, Kanchipuram-603104.",Chennai
1324,"Sri Sai Ram Institute of Technology (Autonomous), Sai Leo Nagar, Dharkast Road, West Tambaram, Kanchipuram, Chennai-600044.",Chennai
1325,"St. Joseph College of Engineering, Trinity Campus, Nemili B Beemanthangal Village, Sriperumbudur, Kancheepuram District, Chennai-602105.",Chennai
1333,"Shikshaa Institute of Advanced Technologies (formerly Vi Institute of Technology), No. 96 Sirunkundram Post,Chengalpattu Taluk,Kancheepuram District-603108.",Chengalpattu
1335,"Sri Krishna Institute of Technology, Navaneedam Nagar, Panapakkam, Near Padappai, Kanchipuram-601301.",Kancheepuram
1339,"Mahalakshmi Tech Campus (formerly Mahalakshmi Engineering College), No.1 Bharathiyar Street, Prashanthi Nagar, Chromepet,Chennai-600044.",Chennai
1399,Chennai Institute of Technology (Autonomous) Puduper Village  Nandambakkam Post  Kundrathur  Chennai 600069,Chennai
1400,"Mohamed Sathak A.J. Academy of Architecture, IT Highway, 34, Old Mahabalipuram Road, Egattur, Chenglepet Taluk, Kancheepuram District-603103.",Kancheepuram
1401,"Adhiparasakthi Engineering College, Melmaruvathur, Cheyyur Taluk, Kancheepuram District-603319.",Kancheepuram
1402,"Annai Teresa College of Engineering, Thirunavalur, Ulundurpet Taluk, Villupuram District-607204.",Villupuram
1405,"Dhanalakshmi College of Engineering, Manimangalam Puducheri Road, Manimangalam, Manimangalam Post, Sriperumbudur Taluk, Kancheepuram District, Chennai-601301.",Chennai
1407,"G K M College of Engineering and Technology, G K M Nagar, Alappakkam-Mappedu Road, New Perugalathur, Chennai-600063.",Chennai
